series_id,state_name,state_name_es
SE29670,Aguascalientes,Aguascalientes
SE29671,Baja California,Baja California
SE29672,Baja California Sur,Baja California Sur
SE29673,Campeche,Campeche
SE29674,Coahuila,Coahuila
SE29675,Colima,Colima
SE29676,Chiapas,Chiapas
SE29677,Chihuahua,Chihuahua
SE29678,Mexico City,Ciudad de México
SE29679,Durango,Durango
SE29680,State of Mexico,Estado de México
SE29681,Guanajuato,Guanajuato
SE29682,Guerrero,Guerrero
SE29683,Hidalgo,Hidalgo
SE29684,Jalisco,Jalisco
SE29685,Michoacán,Michoacán
SE29686,Morelos,Morelos
SE29687,Nayarit,Nayarit
SE29688,Nuevo León,Nuevo León
SE29689,Oaxaca,Oaxaca
SE29690,Puebla,Puebla
SE29691,Querétaro,Querétaro
SE29692,Quintana Roo,Quintana Roo
SE29693,San Luis Potosí,San Luis Potosí
SE29694,Sinaloa,Sinaloa
SE29695,Sonora,Sonora
SE29696,Tabasco,Tabasco
SE29697,Tamaulipas,Tamaulipas
SE29698,Tlaxcala,Tlaxcala
SE29699,Veracruz,Veracruz
SE29700,Yucatán,Yucatán
SE29701,Zacatecas,Zacatecas
